RA;FASE;TURMA;NOME;ANO_NASC;IDADE_22;GENERO;ANO_INGRESSO;INSTITUICAO_DE_ENSINO;PEDRA_20;PEDRA_21;PEDRA_22;INDE_22;CG;CF;CT;NO_AV;AVALIADOR1;REC_AV1;AVALIADOR2;REC_AV2;AVALIADOR3;REC_AV3;AVALIADOR4;REC_AV4;IAA;IEG;IPS;REC_PSICOLOGIA;IDA;MATEM;PORTUG;INGLES;INDICADO;ATINGIU_PV;IPV;IAN;FASE_IDEAL;DEFAS;DESTAQUE_IEG;DESTAQUE_IDA;DESTAQUE_IPV;ANO;INDE_2023;PEDRA_2023;NOME_ANONIMIZADO;DATA_DE_NASC;IDADE;IPP;MAT;POR;ING;DEFASAGEM;INDE_2024;PEDRA_2024;PEDRA_23;INDE_23;AVALIADOR5;AVALIADOR6;ESCOLA;ATIVO_INATIVO;ATIVO_INATIVO1;INDE;RISCO_DEFASAGEM;FAIXA_INDE;FAIXA_IAA;FAIXA_IEG;FAIXA_IPS;FAIXA_IPP;FAIXA_IDA;FAIXA_IPV;FAIXA_IAN;FAIXA_DEFASAGEM;DIF_AUTOAVALIACAO_DESEMPENHO;DIF_ENGAJAMENTO_DESEMPENHO;DIF_PSICOPEDAGOGICO_NIVEL;MEDIA_INDICADORES_SEM_IAN;QTD_INDICADORES_ABAIXO_5;QTD_INDICADORES_ABAIXO_7;INSTITUICAO_ENSINO;PROB_RISCO_DEFASAGEM;GRUPO_MULTI;CLASSIFICACAO_MODELO;PEDRA_ANALISE
RA-3;7;A;Aluno-3;2005,0;17,0;Feminino;2016;Rede Decisão;Ametista;Ametista;Ágata;6,591;629,0;13,0;6,0;4,0;Avaliador-5;Promovido de Fase;Avaliador-27;Promovido de Fase + Bolsa;Avaliador-28;Promovido de Fase + Bolsa;Avaliador-31;Promovido de Fase + Bolsa;0,0;7,9;5,6;Sem limitações;5,6;5,8;4,0;6,9;Não;Não;7,556;10,0;Fase 7 (3º EM);0,0;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;2022;;;;;;;;;;;;;;;;;;;;6,591;0;Médio;Baixo;Bom;Médio;Sem informação;Médio;Bom;Excelente;Sem informação;-5,6;2,3000000000000007;;5,331200000000001;1;3;;0,7455846760151623;Psico abaixo de 7;1;nan
RA-5;7;A;Aluno-5;2005,0;17,0;Feminino;2016;Rede Decisão;Ametista;Ametista;Ametista;7,427;344,0;6,0;2,0;4,0;Avaliador-5;Promovido de Fase;Avaliador-27;Promovido de Fase + Bolsa;Avaliador-28;Promovido de Fase + Bolsa;Avaliador-31;Promovido de Fase + Bolsa;7,9;8,6;5,6;Requer avaliação;5,2;7,0;2,9;5,7;Não;Não;7,389;10,0;Fase 7 (3º EM);0,0;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;2022;;;;;;;;;;;;;;;;;;;;7,427;0;Bom;Bom;Excelente;Médio;Sem informação;Médio;Bom;Excelente;Sem informação;2,7;3,3999999999999995;;6,9378;0;2;;0,7082121865144276;Psico abaixo de 7;1;nan
RA-13;7;A;Aluno-13;2004,0;18,0;Masculino;2016;Escola Pública;Ametista;Ametista;Ágata;6,902;524,0;10,0;4,0;4,0;Avaliador-5;Promovido de Fase;Avaliador-27;Promovido de Fase + Bolsa;Avaliador-28;Promovido de Fase + Bolsa;Avaliador-31;Mantido na Fase atual;7,9;7,4;7,5;Sem limitações;4,7;3,5;5,5;5,2;Sim;Não;8,056;5,0;Fase 8 (Universitários);-1,0;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;2022;;;;;;;;;;;;;;;;;;;;6,902;1;Médio;Bom;Bom;Bom;Sem informação;Baixo;Bom;Médio;Sem informação;3,2;2,7;;7,111199999999999;1;1;;0,7275974048325181;Misto;1;nan
RA-14;7;D;Aluno-14;2001,0;21,0;Masculino;2022;Escola Pública;;;Ágata;6,793;558,0;12,0;7,0;4,0;Avaliador-6;Promovido de Fase + Bolsa;Avaliador-27;Mantido na Fase atual;Avaliador-29;Mantido na Fase atual;Avaliador-31;Mantido na Fase atual;7,9;8,3;7,5;Não atendido;4,0;8,0;0,0;;Sim;Não;7,75;5,0;Fase 8 (Universitários);-1,0;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;2022;;;;;;;;;;;;;;;;;;;;6,793;1;Médio;Bom;Bom;Bom;Sem informação;Baixo;Bom;Médio;Sem informação;3,9000000000000004;4,300000000000001;;7,090000000000001;1;1;;0,7387029738866836;Misto;1;nan
RA-16;7;D;Aluno-16;2003,0;19,0;Masculino;2022;Escola Pública;;;Ágata;6,112;706,0;14,0;8,0;4,0;Avaliador-6;Promovido de Fase + Bolsa;Avaliador-27;Mantido na Fase atual;Avaliador-29;Mantido na Fase + Bolsa;Avaliador-31;Mantido na Fase atual;7,9;8,3;5,0;Requer avaliação;3,5;7,0;0,0;;Sim;Não;6,333;5,0;Fase 8 (Universitários);-1,0;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;2022;;;;;;;;;;;;;;;;;;;;6,112;1;Médio;Bom;Bom;Médio;Sem informação;Baixo;Médio;Médio;Sem informação;4,4;4,800000000000001;;6,2066;1;3;;0,7698828398216642;Psico abaixo de 7;1;nan
RA-21;7;D;Aluno-21;2004,0;18,0;Masculino;2022;Escola Pública;;;Ágata;6,945;508,0;9,0;6,0;4,0;Avaliador-6;Promovido de Fase + Bolsa;Avaliador-27;Mantido na Fase atual;Avaliador-29;Mantido na Fase atual;Avaliador-31;Mantido na Fase atual;9,6;9,2;7,5;Não atendido;3,8;7,0;0,5;;Sim;Não;7,25;5,0;Fase 8 (Universitários);-1,0;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;2022;;;;;;;;;;;;;;;;;;;;6,945;1;Médio;Excelente;Excelente;Bom;Sem informação;Baixo;Bom;Médio;Sem informação;5,8;5,3999999999999995;;7,469999999999999;1;1;;0,7106715332445422;Misto;1;nan
RA-42;5;A;Aluno-42;2007,0;15,0;Masculino;2019;Rede Decisão;Topázio;Ametista;Ágata;6,72;582,0;33,0;5,0;3,0;Avaliador-5;Mantido na Fase atual;Avaliador-27;Mantido na Fase atual;Avaliador-24;Promovido de Fase;Avaliador-31;;8,3;7,9;5,6;Requer avaliação;4,8;3,7;4,5;6,2;Não;Não;6,083;10,0;Fase 5 (1º EM);0,0;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;2022;;;;;;;;;;;;;;;;;;;;6,72;0;Médio;Bom;Bom;Médio;Sem informação;Baixo;Médio;Excelente;Sem informação;3,500000000000001;3,1000000000000005;;6,536600000000002;1;3;;0,7596713301976176;Psico abaixo de 7;1;nan
RA-46;5;A;Aluno-46;2005,0;17,0;Feminino;2022;Escola Pública;;;Ágata;6,048;719,0;46,0;7,0;3,0;Avaliador-5;Mantido na Fase atual;Avaliador-27;Mantido na Fase atual;Avaliador-24;Mantido na Fase atual;Avaliador-31;;8,8;8,4;6,3;Sem limitações;2,1;2,8;2,8;0,7;Não;Não;7,083;5,0;Fase 7 (3º EM);-2,0;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;2022;;;;;;;;;;;;;;;;;;;;6,048;1;Médio;Excelente;Bom;Médio;Sem informação;Baixo;Bom;Médio;Sem informação;6,700000000000001;6,300000000000001;;6,536600000000002;1;2;;0,7698828398216642;Psico abaixo de 7;1;nan
RA-49;5;A;Aluno-49;2005,0;17,0;Feminino;2022;Escola Pública;;;Ágata;6,304;687,0;42,0;6,0;3,0;Avaliador-5;Mantido na Fase atual;Avaliador-27;Mantido na Fase atual;Avaliador-24;Promovido de Fase;Avaliador-31;;7,5;7,4;7,5;Sem limitações;3,9;1,5;4,2;6,2;Não;Não;7,042;5,0;Fase 7 (3º EM);-2,0;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;2022;;;;;;;;;;;;;;;;;;;;6,304;1;Médio;Bom;Bom;Bom;Sem informação;Baixo;Bom;Médio;Sem informação;3,6;3,5000000000000004;;6,6684;1;1;;0,7478411811990889;Misto;1;nan
RA-51;5;B;Aluno-51;2005,0;17,0;Feminino;2022;Escola Pública;;;Ágata;6,488;645,0;39,0;13,0;3,0;Avaliador-5;Mantido na Fase atual;Avaliador-27;Mantido na Fase atual;Avaliador-24;Mantido na Fase atual;Avaliador-31;;8,8;7,6;7,5;Não atendido;5,0;4,5;4,5;6,0;Não;Não;6,5;5,0;Fase 7 (3º EM);-2,0;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;2022;;;;;;;;;;;;;;;;;;;;6,488;1;Médio;Excelente;Bom;Bom;Sem informação;Médio;Médio;Médio;Sem informação;3,8000000000000007;2,5999999999999996;;7,08;0;2;;0,7455846760151623;Misto;1;nan
RA-61;5;B;Aluno-61;2007,0;15,0;Masculino;2021;Escola Pública;;Ágata;Ametista;7,533;298,0;20,0;8,0;3,0;Avaliador-5;Mantido na Fase atual;Avaliador-27;Mantido na Fase atual;Avaliador-24;Promovido de Fase + Bolsa;Avaliador-31;;9,2;7,4;7,5;Não atendido;5,8;1,7;6,3;9,3;Sim;Não;7,875;10,0;Fase 5 (1º EM);0,0;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;2022;;;;;;;;;;;;;;;;;;;;7,533;0;Bom;Excelente;Bom;Bom;Sem informação;Médio;Bom;Excelente;Sem informação;3,3999999999999995;1,6000000000000005;;7,5550000000000015;0;1;;0,7123426412952818;Misto;1;nan
RA-84;5;K;Aluno-84;2005,0;17,0;Feminino;2018;Rede Decisão;Ametista;Ametista;Ágata;6,682;596,0;34,0;7,0;4,0;Avaliador-6;Promovido de Fase + Bolsa;Avaliador-27;Mantido na Fase atual;Avaliador-24;Promovido de Fase + Bolsa;Avaliador-31;Promovido de Fase;7,1;8,8;5,0;Requer avaliação;5,8;5,7;6,5;5,2;Não;Não;6,75;5,0;Fase 7 (3º EM);-2,0;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;2022;;;;;;;;;;;;;;;;;;;;6,682;1;Médio;Bom;Excelente;Médio;Sem informação;Médio;Médio;Médio;Sem informação;1,2999999999999998;3,000000000000001;;6,69;0;3;;0,7082121865144276;Psico abaixo de 7;1;nan
