ANO;RA;NOME;FASE;TURMA;GENERO;IDA;IEG;IPS;IPP;IAA;IPV;PROB_RISCO_DEFASAGEM;CLASSIFICACAO_RISCO_MODELO;RISCO_DEFASAGEM;IAN;DEFASAGEM
2023;RA-679;;FASE 1;1J;Masculino;3,6;7,5;5,02;6,875;7,5;7,393333333;0,9055004978029317;Alto;1;5,0;-1,0
2023;RA-772;;FASE 1;1N;Masculino;4,8;7,2;7,52;6,875;0,0;8,003333333;0,9009286359649219;Alto;1;5,0;-2,0
2023;RA-1049;;FASE 1;1H;Masculino;6,3;7,7;7,52;8,125;10,0;7,943333333;0,8948772015521166;Alto;1;5,0;-1,0
2023;RA-570;;FASE 1;1H;Feminino;5,9;7,3;3,77;8,125;8,5;8,056666667;0,8945275008548107;Alto;1;5,0;-1,0
2023;RA-594;;FASE 1;1L;Masculino;5,8;7,1;6,27;6,875;8,5;7,336666667;0,8939659880349391;Alto;1;5,0;-1,0
2023;RA-1041;;FASE 1;1F;Feminino;3,3;7,2;7,52;7,8125;10,0;8,003333333;0,8923685633026723;Alto;1;5,0;-1,0
2023;RA-776;;FASE 1;1K;Feminino;3,5;7,0;7,52;7,8125;0,0;7,223333333;0,8920115244398448;Alto;1;5,0;-1,0
2023;RA-549;;FASE 1;1J;Masculino;6,4;8,1;5,02;6,875;9,5;7,5;0,8893397296468427;Alto;1;5,0;-1,0
2023;RA-703;;ALFA;ALFA T - G2/G3;Masculino;4,6;8,4;3,14;6,875;9,5;6,16;0,8873354199573344;Alto;1;5,0;-2,0
2023;RA-1069;;FASE 1;1P;Masculino;7,1;7,8;7,52;8,125;9,0;8,226666667;0,8843716883807872;Alto;1;5,0;-1,0
2023;RA-577;;FASE 1;1J;Feminino;7,4;8,2;3,77;6,875;10,0;7,673333333;0,8803404789196834;Alto;1;5,0;-1,0
2023;RA-754;;ALFA;ALFA M - G0/G1;Masculino;5,6;6,1;2,52;6,875;9,5;6,67;0,8790714702754661;Alto;1;5,0;-2,0
2023;RA-388;;FASE 3;3F;Feminino;4,2;7,4;5,63;6,875;0,0;7,835;0,8787690731609693;Alto;1;5,0;-2,0
2023;RA-147;;FASE 4;4F;Feminino;4,5;7,0;5,63;6,875;0,0;7,46;0,8787690731609693;Alto;1;5,0;-1,0
2023;RA-436;;FASE 2;2M;Masculino;3,4;4,7;2,52;6,875;7,5;7,613333333;0,8787690731609693;Alto;1;5,0;-1,0
2023;RA-668;;FASE 2;2K;Masculino;3,4;6,3;7,52;6,875;6,3;7,616666667;0,8787690731609693;Alto;1;5,0;-1,0
2023;RA-387;;FASE 3;3F;Masculino;3,0;6,8;2,52;6,875;0,0;7,0075;0,8787690731609693;Alto;1;5,0;-1,0
2023;RA-1039;;FASE 1;1F;Masculino;6,2;9,9;7,52;8,125;8,0;8,056666667;0,8762061271753748;Alto;1;5,0;-2,0
2023;RA-680;;FASE 1;1B;Feminino;6,4;9,1;7,52;6,875;0,0;7,78;0,8761096790923635;Alto;1;5,0;-1,0
2023;RA-716;;FASE 1;1G;Masculino;5,6;8,7;3,77;6,875;9,0;7,443333333;0,8761096790923635;Alto;1;5,0;-1,0
2023;RA-815;;FASE 1;1R;Masculino;6,5;8,6;5,02;6,875;0,0;7,063333333;0,8761096790923635;Alto;1;5,0;-1,0
