feature;importancia
DIF_PSICOPEDAGOGICO_NIVEL_-2.5;0,1146638921866309
DIF_PSICOPEDAGOGICO_NIVEL_-1.875;0,07841000045056257
IEG;0,07315275328138122
FASE_FASE 8;0,05157469342375002
DIF_PSICOPEDAGOGICO_NIVEL_-3.125;0,04714074206792953
DIF_PSICOPEDAGOGICO_NIVEL_-2.1875;0,04465798189947432
MEDIA_INDICADORES_SEM_IAN;0,041377046855431775
DIF_PSICOPEDAGOGICO_NIVEL_-1.25;0,0375674644790832
DIF_PSICOPEDAGOGICO_NIVEL_-4.375;0,02957412362708603
DIF_PSICOPEDAGOGICO_NIVEL_-1.5625;0,026371570354517888
DIF_PSICOPEDAGOGICO_NIVEL_-2.8125;0,024563983753051594
INSTITUICAO_ENSINO_Colégio Arco Íris Evolução;0,02330111895268489
IDA;0,02257094699504542
DIF_PSICOPEDAGOGICO_NIVEL_-2.03125;0,021225268110270028
DIF_PSICOPEDAGOGICO_NIVEL_-3.75;0,020805442741542998
DIF_PSICOPEDAGOGICO_NIVEL_-1.6666666669999994;0,020378555710386045
DIF_PSICOPEDAGOGICO_NIVEL_3.125;0,02006492490912938
DIF_PSICOPEDAGOGICO_NIVEL_1.875;0,02002843794331127
DIF_PSICOPEDAGOGICO_NIVEL_-2.34375;0,019606225355374422
IPS;0,015306245818804767
DIF_PSICOPEDAGOGICO_NIVEL_2.8125;0,015267330347293384
DIF_PSICOPEDAGOGICO_NIVEL_-2.65625;0,01370214837508355
DIF_PSICOPEDAGOGICO_NIVEL_-1.4583333330000006;0,013345590815685529
DIF_PSICOPEDAGOGICO_NIVEL_-2.0833333329999997;0,012631771707829524
DIF_PSICOPEDAGOGICO_NIVEL_-2.2916666670000003;0,012408703248664475
DIF_PSICOPEDAGOGICO_NIVEL_-1.40625;0,012365214902922576
FASE_FASE 1;0,012197760156984302
DIF_PSICOPEDAGOGICO_NIVEL_-1.71875;0,011968992665677313
DIF_PSICOPEDAGOGICO_NIVEL_3.75;0,011579829422221402
DIF_PSICOPEDAGOGICO_NIVEL_2.5;0,011451269656955127
DIF_PSICOPEDAGOGICO_NIVEL_-2.96875;0,01119593993633891
QTD_INDICADORES_ABAIXO_7;0,010393447668076549
FASE_3;0,009909752606936353
DIF_PSICOPEDAGOGICO_NIVEL_-1.0416666669999994;0,009616574027562302
DIF_PSICOPEDAGOGICO_NIVEL_2.1875;0,008876732318238593
FASE_1;0,007342138598873509
FASE_ALFA;0,006943760817650316
DIF_PSICOPEDAGOGICO_NIVEL_-3.4375;0,00592456670810598
DIF_PSICOPEDAGOGICO_NIVEL_1.25;0,005308764414530098
DIF_PSICOPEDAGOGICO_NIVEL_2.65625;0,005129499183362759
DIF_PSICOPEDAGOGICO_NIVEL_3.4375;0,00511160521447823
DIF_PSICOPEDAGOGICO_NIVEL_-2.9166666670000003;0,0041830104549274464
DIF_PSICOPEDAGOGICO_NIVEL_-2.7083333329999997;0,00382899265598388
DIF_PSICOPEDAGOGICO_NIVEL_3.3333333330000006;0,0031454123084714526
DIF_PSICOPEDAGOGICO_NIVEL_2.9166666670000003;0,0026279500115214244
DIF_PSICOPEDAGOGICO_NIVEL_-4.0625;0,0023945672138989686
IPP_7.65625;0,0019714224998473324
IPP_7.5;0,0019483264907969166
DIF_PSICOPEDAGOGICO_NIVEL_0.625;0,0016616758875492366
DIF_PSICOPEDAGOGICO_NIVEL_2.34375;0,001355250293423712
DIF_PSICOPEDAGOGICO_NIVEL_2.7083333329999997;0,001337760936574607
DIF_PSICOPEDAGOGICO_NIVEL_2.2916666670000003;0,001202083214159193
DIF_PSICOPEDAGOGICO_NIVEL_2.96875;0,001201522173607366
DIF_PSICOPEDAGOGICO_NIVEL_3.9583333330000006;0,0011444999934031876
DIF_PSICOPEDAGOGICO_NIVEL_-3.59375;0,0011082362980791938
DIF_PSICOPEDAGOGICO_NIVEL_-3.3333333329999997;0,0011005336265830507
DIF_PSICOPEDAGOGICO_NIVEL_-3.28125;0,0010549643089236731
DIF_ENGAJAMENTO_DESEMPENHO;0,0009515866046060705
